Id	Sentence_1	Sentence_2	Class	Cosine_distance_layer_1	Cosine_distance_layer_2	Cosine_distance_layer_3	Cosine_distance_layer_4	Cosine_distance_layer_5	Cosine_distance_layer_6	Cosine_distance_layer_7	Cosine_distance_layer_8	Cosine_distance_layer_9	Cosine_distance_layer_10	Cosine_distance_layer_11	Cosine_distance_layer_12
57582	Mi aggrappo, mi posiziono lungo la cima, cercando di fare meno attrito possibile; e mi lascio trasportare verso la superficie.	Gli ultimi metri mi stacco, e lascio che sia solo l'acqua a sorreggermi verso la superficie; e respiro.	0	0.0086	0.0154	0.0241	0.0186	0.0199	0.0165	0.0168	0.0365	0.0658	0.086	0.3839	0.3524
35143	Per cui, quando ci siamo innamorati, abbiamo deciso che la nostra vita doveva diventare il nostro progetto di vita.	Mamma mamma, racconta a tutti com'è andata questa storia.	1	0.0301	0.0358	0.0474	0.0363	0.0428	0.052	0.0501	0.0764	0.1215	0.1789	0.3161	0.3562
68343	Quando finivo i compiti mi rintanavo in quella stanza e nel baule ci nascondevo tutto.	Infatti se devo pensare a me e Milano la parola chiave che mi viene in mente è: pirla Perché decisi di andare a Milano, sapete perché?	1	0.0242	0.0434	0.0423	0.0276	0.0356	0.0326	0.0332	0.0367	0.0424	0.0642	0.0452	0.0811
97271	Però è stato il viaggio - passaggio che mi ha aperto agli altri viaggi - passaggi.	Forse il più doloroso, non me lo ricordo, ma sicuramente è stato il viaggio - passaggio più bello.	0	0.0205	0.0345	0.021	0.0134	0.0169	0.0211	0.021	0.0277	0.0411	0.0561	0.0431	0.0687
2277	Il 14 febbraio del 1990 si trovava a 6 miliardi di km dalla Terra.	Ci ha fotografati e ci ha mandato questa foto.	0	0.0471	0.0473	0.0497	0.0361	0.0421	0.0529	0.0631	0.0862	0.1114	0.2157	0.5075	0.4249
81901	Cosa succede?	È per quello che usiamo un metro.	1	0.0667	0.0859	0.0917	0.0801	0.0887	0.1003	0.1174	0.137	0.1907	0.2178	0.2533	0.1944
167886	E tutti credono che sono fuori: 'Mamma mia, quello lì va nel futuro.' Cos'è il futuro?	Nessuno lo sa.	0	0.0453	0.0661	0.0853	0.0576	0.0685	0.0995	0.2009	0.2548	0.3042	0.5629	0.6607	0.3988
176144	Stare all'aria aperta.	Perché ridà il piacere ad una famiglia che purtroppo è inquadrata con i problemi reali del bambino.	0	0.0583	0.0568	0.0595	0.0479	0.0574	0.0527	0.0634	0.1028	0.1274	0.21	0.4786	0.3735
99454	Applausi, domande - un successone.	L'ho detto ad alcuni, non a tutti perché sennò mi avrebbero menato, ma ho detto: sapete cosa, il mio speech non è questo, perché voi pensate che io vi stia presentando il cibo del futuro, ma questo è già passato.	0	0.0486	0.0776	0.0863	0.0802	0.0756	0.0684	0.0769	0.1145	0.1296	0.1779	0.1193	0.1062
80456	Ma addirittura, ricercatori dell'Università di Harvard hanno dimostrato che il pregiudizio etnico - razziale influenza, addirittura, le decisioni dei medici e delle altre figure professionali in campo sanitario.	Anche io, come voi, e come la maggior parte delle persone, mostro questo stereotipo.	1	0.0249	0.0421	0.0383	0.0252	0.0308	0.0325	0.0367	0.0739	0.0926	0.1325	0.2354	0.1286
133826	In psicologia si dice che il cambiamento parte dalla capacità di uscire dalla zona di comfort.	L'anoressia è un esempio evidente di come le simulazioni del nostro cervello non funzionino.	1	0.019	0.029	0.0304	0.025	0.0268	0.0283	0.0277	0.0493	0.0919	0.1289	0.1021	0.1202
197828	Questo è il senso di come, se io riesco a capire chi sono, chi siamo veramente, riesco a fare.	Ora, in Italia siamo fortunati, perché abbiamo le società benefit che sono lo strumento che ci permette di fare questo.	1	0.0143	0.0475	0.0354	0.0231	0.0223	0.0234	0.019	0.024	0.0347	0.0502	0.0496	0.0605
104883	Però dobbiamo cambiare la prospettiva.	Noi non vogliamo l'uomo per la scienza, vogliamo la scienza per l'uomo, la scienza che viene incontro all'uomo.	0	0.0583	0.0834	0.0761	0.047	0.0554	0.055	0.0629	0.0854	0.1033	0.1958	0.4507	0.255
150426	Non le capisco, è vero.	Ho provato a stilare una lista di quattro principi che forse possono aiutarvi a portare anche solo un pizzico di cultura del gioco.	0	0.0426	0.0833	0.0856	0.0713	0.071	0.0728	0.0786	0.1053	0.1038	0.1249	0.1127	0.1458
126824	Non potremmo essere qui adesso, se non avessimo posto in dubbio la natura ingannatrice dei nostri sensi.	Una di queste discipline è la scienza.	0	0.0446	0.0536	0.0554	0.0423	0.0508	0.0462	0.0558	0.0847	0.1091	0.1601	0.1116	0.1013
89404	Cercherò di leggervela nel migliore dei modi, ma magari rileggetela anche a casa.	Oggi sono qui per raccontarvi quello a cui tengo di più, ovvero l'empatia legata alla sicurezza informatica.	1	0.019	0.0354	0.0365	0.0313	0.0386	0.0314	0.0281	0.0416	0.0875	0.1573	0.199	0.1289
185278	Non ricordo quasi nulla della partita che ci ha assegnato la medaglia.	In quel momento incominciai a tratteggiare un nuovo viaggio, verso un'altra isola di utopia.	1	0.0368	0.0443	0.0521	0.0412	0.0429	0.0434	0.0422	0.0669	0.1111	0.1375	0.2506	0.2343
177462	Il patentino della robotica: oltre la certificazione delle lingue, la certificazione informatica - Un'iniziativa bellissima, realizzata dalle accademie aziendali insieme agli insegnanti, è questa: mettere a disposizione un programma per offrire ai giovani di dotarsi delle competenze di uso e programmazione di un robot industriale.	I miei ragazzi, come tutti i giovani, oggi, frequentano un sistema di istruzione che fatica ad affrontare la sfida della conoscenza correlata all'evoluzione tecnologica.	1	0.0165	0.032	0.0259	0.0166	0.0215	0.0214	0.0266	0.0255	0.0247	0.0231	0.0443	0.0714
159233	Ma i problemi, i dubbi, i drammi che si sono verificati non hanno trovato risposte soddisfacenti nella scienza.	Jahi era viva o era morta?	0	0.0484	0.0805	0.0636	0.0493	0.0523	0.0507	0.0524	0.0582	0.081	0.0978	0.0591	0.0853
106965	"Poi c'è una dimensione anche marittima, nelle ""Vie della Seta"" cinesi, che è una dimensione utilitaristica: non di sfida aperta allo strapotere marittimo americano, che oggi come dicevo è inscalfibile, ci serve a determinare quanto durerà ancora la globalizzazione, con cui mi avvio alla conclusione."	La Cina, anche quando pensa a una dimensione marittima della propria contro - globalizzazione, lo fa pensando di costruire porti nell'Oceano Indiano che poi conducano fino all'Europa, in particolare nel Mediterraneo, dove ha già acquistato il porto del Pireo ad Atene e vorrebbe mettere le mani - ma ci sta pensando seriamente - a Trieste, in Italia.	0	0.008	0.0236	0.0194	0.0133	0.014	0.0147	0.0178	0.0157	0.0121	0.0125	0.0122	0.0166
99205	E fu lodato per la sua devozione.	Ora, la storiella vi sembrerà anche stupidina, ma fumare mentre prego e pregare mentre fumo è la stessa roba, è la stessa cosa.	0	0.0304	0.0458	0.0485	0.0444	0.0536	0.0623	0.0615	0.0739	0.0819	0.1185	0.1895	0.2327
83416	"Vi sembrerà strano ma, banalmente, una notte digitai su Google ""Katmandu"" e ""jazz"" e... wow!"	L'esperienza da sassofonista globetrotter mi ha cambiato radicalmente la vita.	1	0.0272	0.0432	0.0616	0.0551	0.0751	0.0864	0.0864	0.112	0.1247	0.1598	0.1794	0.2125
23172	E noi, a Bollate, abbiamo puntato sulla qualità.	Il carcere deve cercare di essere un'istituzione sociale, un'istituzione che favorisce le relazioni, che favorisce gli scambi sociali sia all'interno del carcere, ma anche con la società.	1	0.0423	0.0511	0.0559	0.0354	0.0409	0.0364	0.0537	0.0771	0.1055	0.257	0.6587	0.5036
176503	Intendevo dire innocuo anch'io nel concetto del signor Firbo, di mia moglie, e insomma di tutti coloro che mi vogliono interdire.	Ed era tanto realtà quest'uno che quando alla fine, esasperato, lo volli distruggere imponendo invece della sua, una mia realtà, mia moglie, che non era mai stata mia moglie ma la moglie di colui, si trovò subito inorridita, come in braccio a un estraneo, uno sconosciuto, e dichiarò di non potermi più amare e di non poter più convivere con me neanche un minuto e scappò via.	1	0.0262	0.0499	0.0427	0.0306	0.0334	0.0335	0.0437	0.0367	0.0283	0.0352	0.0493	0.0932
72198	Sono 250 anni molto importanti, che hanno cambiato radicalmente la nostra storia, e che noi viviamo attualmente.	Si parla di innovazione sociale, e la mia domanda è: che cos'è questa innovazione sociale?	0	0.0236	0.0331	0.0325	0.023	0.0222	0.0227	0.0237	0.0439	0.0807	0.1311	0.3192	0.3125
104069	Le grotte stesse sono le più antiche che possiamo trovare sul nostro pianeta e contengono delle forme di vita, soprattutto batteri, che sono molto interessanti per capire l'origine e l'evoluzione della vita sul nostro pianeta.	Non è necessario attraversare gli oceani, andare in altri continenti o in luoghi remoti.	1	0.0297	0.0375	0.0527	0.043	0.0473	0.0395	0.0439	0.0644	0.1092	0.1452	0.1867	0.2239
129137	Io speravo solo di annoiarvi veramente.	E in breve, una comunità di 44 persone da quattro paesi diversi si presentò virtualmente alla sua porta, per aiutarlo.	1	0.0391	0.0549	0.0552	0.042	0.046	0.0482	0.0548	0.0726	0.0781	0.0993	0.1944	0.3031
54671	C'erano iscritti da 50 Paesi, c'erano più di 400 iscritti.	E oltretutto la cosa importante è che stiamo parlando di pianeti completamente diversi e soprattutto di intenti completamente diversi.	1	0.0359	0.061	0.0704	0.0455	0.05	0.0419	0.0387	0.0441	0.0829	0.1231	0.2338	0.2076
154548	Chissà, il mio sogno, un giorno, portarlo anche dentro in questo bellissimo teatro.	Quando vado nelle scuole parlo ai giovani.	0	0.0563	0.0664	0.0489	0.0337	0.0361	0.0339	0.0367	0.0377	0.0347	0.0487	0.0324	0.0921
80062	È quella che dirige la visione, che decide quando dobbiamo prestare attenzione, a cosa dobbiamo prestare attenzione nel nostro campo visivo.	Quindi il direttore d'orchestra, nel senso che non suona uno strumento di per sé, ma regola, diciamo, le produzioni di tutti gli altri strumenti.	0	0.018	0.0307	0.0446	0.0291	0.0291	0.0314	0.0329	0.0642	0.0932	0.1259	0.3702	0.362
36484	Dieci, non di più.	La rotta si allunga, più trafficanti coinvolti, viaggio più pericoloso, più soldi che vanno ad alimentare il business criminale.	1	0.0404	0.0649	0.0726	0.0552	0.0605	0.0665	0.0629	0.0734	0.0829	0.1077	0.0986	0.1257
34998	Quando si mangia, non si mangia solo per sé, ma nell'atto della scelta del cibo, questa cosa incide anche sugli equilibri del mondo.	E c'è tutto un filone oggi di ricerca che mette in correlazione le scelte alimentari con l'aumento della produzione di CO2.	0	0.0168	0.0284	0.0269	0.016	0.0189	0.0261	0.0288	0.0326	0.0336	0.0369	0.048	0.0489
143305	Quello che più mi colpiva era come avesse raggiunto il successo materiale però, nonostante tutto, non si sentisse soddisfatto.	E poi c'è questa leggendaria sfida, di cui parla proprio Karnazes nel suo libro: la badwater 135, considerata la gara podistica più dura del mondo.	1	0.0218	0.0455	0.0383	0.0285	0.0289	0.0285	0.0378	0.06	0.1111	0.1709	0.4397	0.4053
152211	E via via abbiamo cominciato a studiare l'universo anche alle più alte energie: ai raggi X, ai raggi gamma.	Abbiamo scoperto un universo assolutamente incredibile, un universo popolato di cose strane: ci sono delle stelle, come le Pulsar, che sono dense e compatte, girano intorno a sé stesse in una frazione di secondo; abbiamo scoperto il Quasar, dei buchi neri giganteschi che sputano dei getti di energia e di materia nello spazio intergalattico.	0	0.0237	0.0387	0.0606	0.0531	0.0644	0.0733	0.0756	0.0757	0.0642	0.0777	0.1155	0.1129
131972	"Lo definisce perfettamente Milan Kundera, nella raccolta di saggi ""I testamenti traditi"", dove parla dello humor: ""Lampo divino, che rivela tutta l'ambiguità morale del mondo, e la profonda incompetenza dell'uomo a giudicare gli altri."	Lo humor, l'euforia che nasce dal conoscere la relatività delle cose umane.	0	0.0204	0.0257	0.0323	0.0223	0.0261	0.0276	0.0403	0.0435	0.0337	0.035	0.0398	0.047
169637	Voi distrazione, noi concentrazione.	Claudio, voi dovete uscire dalla logica per cui l'attenzione degli utenti la si compra.	1	0.0407	0.0689	0.0944	0.0709	0.0784	0.0777	0.084	0.1094	0.1154	0.1373	0.2857	0.2306
194315	Simulazioni che ci consentono di rimanere all'interno della zona di comfort.	Un esempio su cui abbiamo lavorato a lungo, all'interno dell'Istituto Auxologico Italiano, dove io lavoro, è il caso dell'anoressia.	1	0.0232	0.0356	0.0305	0.02	0.0234	0.0276	0.0351	0.035	0.0318	0.0285	0.0388	0.1197
112285	Qualcuno di questi virus, ogni tanto, trova il modo di bucare queste difese e le conseguenze che vediamo possono essere catastrofiche.	Questi farmaci non curano, non tolgono il virus, non eradicano l'infezione.	1	0.0197	0.0307	0.0519	0.0382	0.044	0.0566	0.0569	0.0819	0.1196	0.1404	0.2591	0.209
9797	"Così ho deciso di fondare una no profit, ""Yourban 2030"", per utilizzare il linguaggio universale dell'arte al fine di sensibilizzare sull'importanza e sull'urgenza di agire nei confronti delle tematiche ambientali."	Raffigura un airone multicolore, una specie in via d'estinzione, che caccia la sua preda in un mare fortemente inquinato.	1	0.0224	0.0477	0.0441	0.0247	0.025	0.0259	0.0305	0.0257	0.0221	0.0314	0.0502	0.3036
175210	I bagni non ci sono, non ci sono le strutture.	Mi hanno sempre steso un tappeto rosso.	1	0.0346	0.0405	0.0348	0.0208	0.0309	0.0264	0.0314	0.0308	0.0361	0.0701	0.0878	0.1507
2411	Ma in questi 50 anni della Rivoluzione Internet, è successo qualcos'altro.	E questo secondo un fenomeno di creative destruction, di distruzione creativa, che sostanzialmente è un processo industriale che ci dice che ciò che è nuovo progressivamente distrugge ciò che è vecchio, perché ha bisogno di farsi spazio.	1	0.0285	0.0558	0.0517	0.0336	0.0412	0.046	0.0494	0.0609	0.0643	0.0884	0.1589	0.1227
191826	Ma quando ci si mette a suonare insieme, si fa musica insieme, queste differenze spariscono completamente e si vale tutti allo stesso modo, si dialoga allo stesso modo.	In qualsiasi progetto che abbia fatto, in generale, nella musica, ho visto che è importante non fossilizzarsi su un modello acquisito, in campo musicale ma anche nella vita.	1	0.0146	0.0263	0.0233	0.0159	0.0204	0.0228	0.0207	0.0265	0.029	0.033	0.0283	0.044
2602	Superate queste tre prove, queste tre caratteristiche non deve costituire un rischio per la popolazione a terra.	Quindi, capite bene quanto sia complesso da affrontare questo problema.	0	0.0234	0.0412	0.0373	0.0309	0.0399	0.0494	0.0514	0.0533	0.0658	0.1114	0.1065	0.2199
33185	In realtà, ce ne sono state almeno un paio precedenti all'attuale globalizzazione.	"Siamo nella seconda metà dell'800, in quella che si chiama ""Era Vittoriana"", per la Gran Bretagna."	1	0.0239	0.0401	0.0358	0.0285	0.0302	0.0389	0.0438	0.0418	0.0402	0.0426	0.0431	0.0961
79646	I risultati sono tuttora visibili, perché adesso l'area dunale, questo incredibile, delicato ecosistema, patrimonio dell'umanità, è ritornato ad essere e ad avere il suo aspetto naturalistico e selvaggio.	In un'area che era diventata un'enclave dove le persone di Torre Del Lago non potevano neanche entrare.	1	0.0212	0.0434	0.0372	0.0204	0.021	0.02	0.0244	0.0209	0.0146	0.0179	0.0354	0.052
27808	Io tendo non a domare, non a inibire questo istinto selvatico; vado a coltivarlo, vado a tirarlo fuori.	La soddisfazione più grande, per un falconiere cacciatore, è vedere che il suo falco non tanto fa una cattura, ma quanto che è competitivo con un animale selvatico.	0	0.0237	0.0397	0.0286	0.0206	0.0187	0.0184	0.022	0.0273	0.043	0.0699	0.0874	0.1193
193629	Il primo ingrediente di questa ricetta sono le curve, e qui diciamo tutto.	Voglio dire… vedete… Perché ho scelto le curve di un corpo femminile?	0	0.0272	0.0488	0.0413	0.0255	0.034	0.0521	0.0431	0.043	0.0482	0.0736	0.153	0.2589
128342	E anche, se diciamo sostenibilità e basso consumo di suolo, veder quel che c'è, prima di fare del nuovo.	È semplice.	0	0.0724	0.0911	0.1182	0.0813	0.0838	0.0795	0.0963	0.1491	0.184	0.2429	0.2212	0.2599
37391	E in un mondo nuovo c'è bisogno di regole nuove.	C'è bisogno di regole nuove perché noi non siamo in grado di interpretare quello che ci accade di fianco, quello che ci accade attorno.	0	0.0178	0.03	0.034	0.0269	0.0293	0.0397	0.0391	0.0377	0.0322	0.0522	0.1452	0.0822
88878	Ho capito, ma a me piace fare quello.	Sì, però non è un mestiere.	0	0.045	0.0408	0.0348	0.0215	0.0265	0.0241	0.0246	0.0302	0.038	0.0604	0.0718	0.0763
88956	E io cosa c'ho guadagnato?	Ora sappiamo perché noi tutti abbiamo una massa, che non è proprio da poco.	1	0.0372	0.075	0.0929	0.0643	0.0828	0.082	0.0967	0.1047	0.1267	0.1715	0.2213	0.2784
82095	Una seduta di dialisi dura 4 ore.	Se ne fanno 3 alla settimana.	0	0.0267	0.0307	0.0382	0.0259	0.0341	0.0321	0.0362	0.0447	0.0514	0.0845	0.0958	0.0671
16136	Mi sono seduta sulle loro stesse stuoie percorse da scorpioni, ho bevuto il loro tè verde, ho partecipato alla fatica, toccando con mano la resistenza pervicace contro governi che vorrebbero i Nomadi via dal vento e dalle savane per trascinarli nelle case, sulle terre, e farne degli artigiani o dei contadini.	Quando, nel 2017, approdai in Gujarat, nell'India nord - occidentale, un'altra visione mi turbò.	0	0.0217	0.0765	0.0811	0.0532	0.0518	0.06	0.0668	0.0768	0.0651	0.0734	0.1103	0.1089
158537	Questa signora, di nome Mary - quindi, con la Madonna, forse c'eravamo - statunitense californiana di origini norvegesi, dal 1997 cittadina italiana, residente a Firenze, era lì davanti a me, in carne ed ossa, e ripuliva un tratto di spiaggia.	Noi siamo arrivati, abbiamo fatto tabula rasa.	1	0.0555	0.0676	0.0605	0.0443	0.0501	0.0558	0.0805	0.1093	0.1358	0.2998	0.6996	0.3909
68685	Era l'inizio della più grande e geniale operazione di traffico di migranti della storia recente, a parte quella di Mosè.	In due mesi, 17 cargo come questi sono arrivati sulle coste del Sud Italia: 5.000 migranti trasportati, quasi tutti siriani, quindi richiedenti asilo, euro 8.000 il costo medio del biglietto, un fatturato di 40 milioni di euro.	0	0.0278	0.0391	0.0529	0.0418	0.0483	0.0475	0.0534	0.0609	0.0641	0.0839	0.2361	0.2328
23144	"Yvon Chouinard in una delle sue più famose citazioni una volta disse: ""Arrampicare è uno sport inutile, si diventa conquistatori dell'inutile, in vetta ci si può arrivare in molti modi, ma è il come ad essere importante."""	Infatti io mi sono iscritto a un liceo scientifico perché pensavo che il diploma in quel tipo di scuola mi tornasse più utile in un futuro.	1	0.0224	0.0657	0.0536	0.0394	0.0398	0.0375	0.0413	0.0568	0.0769	0.0989	0.2658	0.3317
191599	No, cascati è una brutta parola.	Abbiamo un team, abbiamo un progetto: è fatta.	1	0.0384	0.055	0.0819	0.0554	0.0579	0.0578	0.0571	0.0594	0.0567	0.0756	0.1105	0.11
64165	Ma la vera domanda che ci siamo fatti noi è, quale natura?	Funzionano tutte allo stesso modo?	0	0.0306	0.0391	0.0398	0.0266	0.0379	0.0345	0.0353	0.0385	0.043	0.0663	0.1121	0.1637
183045	Per pochi?	Per molti?	0	0.0053	0.0087	0.0104	0.0095	0.0137	0.0125	0.0126	0.017	0.035	0.0452	0.0909	0.1862
164630	Continuate ad alimentare questa energia.	Immaginate ora di avvolgere anche quei cari amici, amiche, ma anche i colleghi di lavoro.	0	0.0483	0.0645	0.0683	0.0545	0.0597	0.0563	0.0653	0.0703	0.0674	0.0768	0.0574	0.1028
67996	Per cui, per un robot, per costruirsi il più possibile un'immagine corretta della situazione globale quindi sia cognitiva che emozionale, nostra, del loro partner devono essere in grado di utilizzare i loro sensori per captare tutte le variazioni possibili del corpo di chi sta interagendo con loro.	Vuoi salutare la folla, sì o no?	1	0.0574	0.1185	0.1008	0.0702	0.0745	0.0647	0.0782	0.1055	0.1206	0.1633	0.344	0.2533
186713	Immaginatevi Michelangelo che, di fronte a un blocco di marmo.	"osasse dire: ""Che noia questo marmo di Carrara, è così duro""."	0	0.0331	0.0447	0.0408	0.0256	0.0323	0.0292	0.0298	0.0349	0.0511	0.0776	0.0852	0.2216
183659	"Per questo quando ho visto il bando ho scritto immediatamente: ""Non potete non prendermi! """	La F di fare è certamente fiducia, perché è fiducia nell'idea, bisogna credere in qualcosa.	0	0.0287	0.0595	0.0773	0.0475	0.0504	0.0428	0.0404	0.0582	0.097	0.1604	0.2405	0.2444
96270	Per quando è fissata?	Per il 14.	0	0.0334	0.0403	0.0393	0.0261	0.0332	0.0347	0.0369	0.0593	0.1029	0.1211	0.1371	0.1424
172191	Dovete sapere che quando noi ci muoviamo ci aspettiamo un accordo tra il segnale che abbiamo mandato al nostro arto e quello che ci proviene.	Per capire, per capirsi, dobbiamo ascoltare, badare a ché i nostri gesti producano gli effetti che speravamo.	1	0.0168	0.029	0.0409	0.0328	0.033	0.0294	0.0272	0.0314	0.0344	0.0514	0.0331	0.0688
197707	Perché abbiamo fretta, dobbiamo velocemente diventare consapevoli, responsabili di quello che accade.	Sappiamo, per esempio, che l'oceano produce il 50 percento dell'ossigeno che respiriamo?	1	0.0246	0.0434	0.0556	0.0426	0.0517	0.0481	0.0573	0.0658	0.0982	0.1386	0.1749	0.2322
16031	E se pensate alla storia di tutti questi popoli, vi sembrerà impossibile.	Eppure loro lavoravano insieme, in sala parto, in prima linea per prendersi cura di altre donne, stremate dalla guerra.	0	0.0268	0.0355	0.0409	0.0312	0.0376	0.034	0.0353	0.0404	0.063	0.0898	0.0608	0.1408
90623	All'interno di un progetto quale ARCHEOSUb, che mette insieme due aspetti del nostro essere italiani: beni culturali e tecnologia.	Dal comprendere questo mondo, e quindi comprendere veramente la tettonica del nostro pianeta, diciamo fenomeni come il vulcanismo in ambito sottomarino a potere in maniera efficace controllare i nostri confini marittimi, o reagire nel momento in cui avvengono dei disastri naturali o eventi come il naufragio della Costa Concordia.	1	0.0189	0.0482	0.0536	0.0381	0.0463	0.057	0.0563	0.0563	0.0686	0.0799	0.0952	0.1453
105918	'Beh, in realtà questo ancora non è un mio problema.' Magari interessa le aziende, ma ancora non mi tocca direttamente.	Però nel mio lavoro mi occupo di sicurezza e di insicurezza, cioè di hacking.	1	0.0278	0.0488	0.0494	0.034	0.0334	0.031	0.0311	0.0508	0.0521	0.0709	0.0482	0.0691
184487	Perché potrei dirvi che io, come Alice, sono affetta da sempre, sin da bambina, da quella malattia incurabile che è quella di sognare ad occhi aperti, da sempre.	E questo toccarsi, alle volte, è così magico, così fantastico che è come un toccarsi tra stelle, e succedono scintille: veramente, è così.	1	0.017	0.0388	0.0284	0.0215	0.0267	0.0259	0.0272	0.0315	0.0414	0.0395	0.0361	0.0664
119468	Quindi non c'è bisogno di andare in ospedale, non c'è bisogno di pensare alle farmacie, non c'è bisogno di pensare ai farmaci.	E l'altra cosa, ci siamo accorti che non solo il medico, ma l'Agenzia delle Entrate gioca un ruolo importante nella nostra salute.	1	0.012	0.0229	0.0203	0.0137	0.0188	0.0185	0.0246	0.018	0.0146	0.0146	0.0228	0.075
126790	Voi mi vedete, sono qui in accappatoio; e c'è un motivo.	Vi presento un piccolo estratto di uno dei miei fallimenti con cui ho girato il mondo e grazie al quale ho capito che cadere e ridere davanti agli altri non serve a farmi cadere di meno ma, nel mio piccolo, ha trasformato quella caduta in un volo.	0	0.0279	0.049	0.0757	0.055	0.0545	0.062	0.072	0.0835	0.1132	0.1321	0.1414	0.0995
176456	Gli scienziati, i ricercatori, non sono star, prime donne, lupi solitari, predicatori eremiti, geni incompresi.	Lo stesso Grothendieck aveva intuito il potenziale unificante di questa nozione, senza, però, farne uno strumento concreto per lo studio delle relazioni tra teorie matematiche differenti.	1	0.0286	0.0505	0.048	0.0335	0.0364	0.0344	0.0396	0.038	0.0612	0.0976	0.0874	0.098
104520	"Non a caso, lo incontra proprio in quel momento della sua vita e la principessa Qualcosa Di Troppo dice: ""ma io voglio liberarmi di questo buco, come faccio?"	"Ho un buco al posto del cuore"" Lui le risponde: ""Principessina, se lascerai stare il buco e lo accetterai senza tanti starnazzi, vedrai che, entro un anno, si restringerà da solo e diventerà addirittura qualcosa di prezioso da avere dentro di te, come un passaggio segreto, ecco."	0	0.0122	0.0271	0.0215	0.0167	0.0175	0.019	0.0204	0.0235	0.0324	0.0418	0.0688	0.0936
87907	Il nostro progetto si è sviluppato avendo come visione quella degli ingredienti, piuttosto che degli alimenti.	Questo concorso e lo sviluppo del prototipo in Polifactory ci ha portato al Fuorisalone 2016, dove abbiamo esposto nella mostra organizzata sempre da Next Design Innovation con l'aiuto della Regione Lombardia, e lì abbiamo avuto il primo riscontro con il pubblico.	1	0.0289	0.046	0.0595	0.0445	0.0433	0.0518	0.0544	0.0711	0.1123	0.1516	0.1669	0.1074
151614	Quello che stiamo facendo noi è chiudere le rotte.	L'effettiva riallocazione dei migranti in tutta Europa, e adesso ci arriviamo meglio.	1	0.0312	0.0448	0.0509	0.0335	0.0357	0.0351	0.0349	0.0511	0.0953	0.1213	0.3125	0.3932
87572	Quali sono stati gli Yoda della nostra vita che ci hanno ispirato e che ci hanno insegnato?	Mi chiede 'perché non ci vieni ad aiutare l'Italia per un paio d'anni? ' ci penso, ci rifletto, Ne parlo ovviamente con mia moglie Monica e parlo col mio capo, Jeff Bezos.	1	0.0371	0.0519	0.0791	0.0523	0.0512	0.0441	0.0407	0.0605	0.0927	0.1411	0.502	0.503
147064	E per questo lo ricorderemo nei secoli dei secoli.	Il topic di questo evento TED sono le eterotopie.	1	0.0423	0.0553	0.0471	0.0354	0.0459	0.0431	0.0437	0.0602	0.0863	0.1435	0.345	0.3011
75734	Quando siamo alti così.	Quello che preferite.	1	0.0329	0.037	0.0452	0.0319	0.035	0.0261	0.0319	0.0674	0.1441	0.177	0.3073	0.3347
185379	Per capire il vero problema, però, ci vogliono alcuni giorni, alcune settimane anche per prendere delle decisioni.	E la risposta, banalmente, era no.	1	0.0309	0.0672	0.0503	0.0436	0.0523	0.0473	0.05	0.0499	0.0624	0.1198	0.0901	0.1292
85828	Le nanotecnologie sono incredibilmente rivoluzionarie giorno dopo giorno.	Vedete scorrere in queste animazioni quello che è flessibile e non flessibile, fa passare la corrente, trasparente o meno.	1	0.0433	0.0561	0.0466	0.0395	0.0375	0.0416	0.0429	0.0499	0.051	0.0688	0.209	0.2892
75034	Per sopravvivere, la prima regola è trovare energia e risparmiare la stessa.	Niente di tutto questo.	1	0.0547	0.0622	0.0698	0.052	0.0644	0.0846	0.1161	0.1538	0.2555	0.4694	0.6454	0.3117
92348	Partiamo dal basso, e il basso lo assegno al blocco numero 2, perchè loro sono sotto la galleria e quindi hanno una situazione acustica che favorisce le note basse.	Vorrei che la mimaste la chitarra, ok?	1	0.0405	0.0878	0.0616	0.0413	0.0523	0.0555	0.0649	0.07	0.0738	0.0847	0.0854	0.1358
37289	Grazie mille.	E anche quando queste avvengono, vengono considerate, spesso, come una cosa normale, che succede e poi passa.	1	0.0817	0.0918	0.1227	0.0871	0.0915	0.1132	0.1483	0.3199	0.428	0.4395	0.6669	0.488
48427	Nulla è impossibile.	Là in mezzo, quando avevo le piaghe nei piedi, ho immaginato di camminare sollevata dalla sabbia per non sentire il dolore e paradossalmente queste piaghe stavano guarendo, nonostante continuassi a camminare coi miei 25 kg sulle spalle nella sabbia.	0	0.0909	0.1097	0.1274	0.1006	0.1113	0.1039	0.1356	0.2378	0.2946	0.2635	0.1992	0.2704
119241	Potenziano le nostre capacità, ed è per questo che siamo chiamati a scegliere come vogliamo usarli.	Sta solo a noi decidere.	0	0.0501	0.0676	0.0702	0.0514	0.0606	0.0876	0.1117	0.1433	0.1987	0.3583	0.6755	0.555
67857	È di soldi?	Ma soprattutto, trasversalmente, si parla di persone.	1	0.058	0.0929	0.1138	0.0685	0.0752	0.0666	0.0821	0.1302	0.1651	0.198	0.1212	0.1737
91833	E questo è stato possibile solo grazie al progresso scientifico e tecnologico del Novecento.	Perché è lì che in pochissimi anni la vita media è quasi raddoppiata.	0	0.0264	0.0426	0.0397	0.0273	0.0308	0.0274	0.0213	0.0242	0.025	0.0385	0.0456	0.0733
